Date,Price,Open,High,Low,Vol.,Change %
2019-12-31,418.33,405,421.29,402.08,10.29M,0.00880
2019-12-30,414.7,428.79,429,409.26,12.60M,-0.03640
2019-12-27,430.38,435,435.31,426.11,9.96M,-0.00130
2019-12-26,430.94,427.91,433.48,426.35,10.65M,0.01340
2019-12-24,425.25,418.36,425.47,412.69,8.05M,0.01440
2019-12-23,419.22,411.78,422.01,410,13.33M,0.03360
2019-12-20,405.59,410.29,413,400.19,14.79M,0.00380
2019-12-19,404.04,397.32,406.85,396.5,18.12M,0.02770
2019-12-18,393.15,380.63,395.22,380.58,14.14M,0.03740
2019-12-17,378.99,378.99,385.5,375.9,8.50M,-0.00660
2019-12-16,381.5,362.55,383.61,362.5,18.22M,0.06450
2019-12-13,358.39,361.05,365.21,354.64,6.57M,-0.00360
2019-12-12,359.68,354.92,362.74,353.23,7.78M,0.01980
2019-12-11,352.7,351.88,357.19,351.09,6.92M,0.01110
2019-12-10,348.84,339.96,350.73,339.31,8.84M,0.02740
2019-12-09,339.53,336.59,344.45,335.08,9.04M,0.01080
2019-12-06,335.89,335,338.86,334.77,7.62M,0.01670
2019-12-05,330.37,332.83,334.42,327.25,3.74M,-0.00800
2019-12-04,333.03,337.75,337.86,332.85,5.54M,-0.00940
2019-12-03,336.2,332.62,337.91,332.19,6.61M,0.00400
2019-12-02,334.87,329.4,336.38,328.69,6.08M,0.01490
2019-11-29,329.94,331.11,331.26,327.5,2.47M,-0.00410
2019-11-27,331.29,331.12,333.93,328.57,5.56M,0.00720
2019-11-26,328.92,335.27,335.5,327.1,7.96M,-0.02210
2019-11-25,336.34,344.32,344.57,334.46,12.35M,0.00990
2019-11-22,333.04,340.16,341,330,16.87M,-0.06140
2019-11-21,354.83,354.51,360.84,354,6.11M,0.00740
2019-11-20,352.22,360,361.2,349.57,6.73M,-0.02030
2019-11-19,359.52,351.75,359.99,347.8,7.74M,0.02720
2019-11-18,349.99,352.92,353.15,346.1,4.41M,-0.00620
2019-11-15,352.17,350.64,352.8,348.36,4.81M,0.00810
2019-11-14,349.35,346.11,353.84,342.91,6.47M,0.00940
2019-11-13,346.11,355,356.33,345.18,8.47M,-0.01090
2019-11-12,349.93,346.9,350.37,344.04,7.36M,0.01400
2019-11-11,345.09,343.95,349.19,342,9.99M,0.02360
2019-11-08,337.14,334.5,337.46,332.5,6.07M,0.00480
2019-11-07,335.54,329.14,341.5,328.02,14.47M,0.02740
2019-11-06,326.58,318,326.72,314.5,7.94M,0.02950
2019-11-05,317.22,319.62,323.51,316.12,6.94M,-0.00080
2019-11-04,317.47,314.8,321.94,309.26,8.79M,0.01330
2019-11-01,313.31,316.32,316.48,309.8,6.38M,-0.00510
2019-10-31,314.92,313.1,319,313,5.07M,-0.00030
2019-10-30,315.01,313,318.79,309.97,9.64M,-0.00380
2019-10-29,316.22,319.99,324.3,314.75,12.68M,-0.03510
2019-10-28,327.71,327.54,340.84,322.6,18.87M,-0.00130
2019-10-25,328.13,297.72,330,296.11,30.01M,0.09490
2019-10-24,299.68,298.37,304.93,289.2,29.82M,0.17670
2019-10-23,254.68,254.5,256.14,251.35,11.22M,-0.00350
2019-10-22,255.58,254.32,258.33,250.85,4.63M,0.00820
2019-10-21,253.5,258.33,259.5,250.18,5.11M,-0.01340
2019-10-18,256.95,260.7,262.8,255.1,5.75M,-0.01920
2019-10-17,261.97,262.5,264.78,260.17,4.78M,0.00850
2019-10-16,259.75,257.39,262.1,256.92,6.70M,0.00720
2019-10-15,257.89,257.7,260,254.12,6.48M,0.00360
2019-10-14,256.96,247.9,258.55,247.13,10.23M,0.03660
2019-10-11,247.89,247.15,251.08,246.81,8.49M,0.01290
2019-10-10,244.74,245.28,249.28,241.58,6.31M,0.00090
2019-10-09,244.53,241.32,247.29,240.65,6.94M,0.01870
2019-10-08,240.05,235.87,243.94,234.5,8.70M,0.00980
2019-10-07,237.72,229.8,238.56,228.55,8.09M,0.02720
2019-10-04,231.43,231.61,234.78,228.07,8.02M,-0.00690
2019-10-03,233.03,231.86,234.48,224.28,15.14M,-0.04150
2019-10-02,243.13,243.29,244.65,239.43,6.26M,-0.00640
